Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,mode_shape_1::mode_y,100.0,0.45,1.741,3,0,1529.1079,4,0,0.1939,2,0,0.8437,4,0.1272,1.3301,4,0.1272,156.6864,3,0.1314,-0.3009,4,0.1272,1.1406,4,0.1272,14.9776,1,0.219,0.4215,2.0,0.1408
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,M,mode_shape_1::mode_z,100.0,0.4,1.5457,2,0,1214.6088,3,0,0.2749,5,0,0.9894,3,0.1397,1.2379,3,0.1397,164.5611,3,0.1397,-0.0425,3,0.1397,1.021,3,0.1397,8.2236,3,0.1508,0.0732,4.0,0.1508
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,M,mode_shape_2::mode_x,100.0,0.45,1.5457,2,0,1050.2469,3,0,0.2681,5,0,0.9112,3,0.119,1.1935,3,0.113,163.1423,2,0.1333,-0.0441,3,0.113,1.0218,3,0.113,14.0478,4,0.2898,0.0323,3.0,0.119
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_2::mode_y,100.0,0.45,3.7785,5,0,860.2147,2,0,0.1995,2,0,0.6417,2,0.1379,1.1095,2,0.1379,181.8599,4,0.1422,-0.0006,2,0.1379,1.0003,2,0.1379,25.5657,2,0.1685,0.0147,4.0,0.1379
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,M,mode_shape_2::mode_z,100.0,0.45,1.5457,2,0,1050.2469,3,0,0.2681,5,0,0.906,3,0.1413,1.1984,3,0.1413,160.6469,2,0.1523,-0.0522,3,0.1413,1.0258,3,0.1413,7.8352,3,0.1413,0.0323,3.0,0.1413
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,torsion::disp_x,100.0,0.35,3.7788,5,0,1375.6023,2,0,0.2164,3,0,0.1017,1,0.1399,0.2128,1,0.1399,46.8404,1,0.1491,0.9649,1,0.1399,0.1873,1,0.1399,4.7221,1,0.1491,0.9767,1.0,0.1421
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,torsion::disp_y,100.0,0.35,3.7788,5,0,1375.6023,2,0,0.2164,3,0,0.1124,1,0.1413,0.2305,1,0.1413,48.1757,1,0.1413,0.9548,1,0.1413,0.2126,1,0.1413,7.1724,1,0.1413,0.9767,1.0,0.1523
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,torsion::disp_z,100.0,0.3,3.7788,5,0,1375.6023,2,0,0.2164,3,0,0.1451,1,0.1413,0.2693,1,0.1413,57.0125,1,0.1413,0.9457,1,0.1413,0.2331,1,0.1413,4.3896,1,0.1523,0.9767,1.0,0.1413
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,torsion::stress,100.0,0.3,3.7788,5,0,1375.6023,2,0,0.2164,3,0,0.3034,1,0.1572,0.5487,1,0.1572,89.2191,3,0.1773,0.7649,1,0.1572,0.4849,1,0.1572,20.9178,3,0.1938,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::disp_x,100.0,0.35,3.7788,5,0,1402.5598,2,0,0.224,3,0,0.1446,2,0.1314,0.2746,2,0.1314,33.5037,2,0.1314,0.9448,2,0.1314,0.2338,2,0.1314,5.5326,2,0.2051,0.9451,1.0,0.1379
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::disp_y,100.0,0.35,3.7788,5,0,1402.5598,2,0,0.224,3,0,0.1986,1,0.147,0.4029,2,0.1398,63.6815,1,0.147,0.871,2,0.1398,0.3592,2,0.1398,7.4753,2,0.1398,0.9451,1.0,0.147
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,M,vertical::disp_z,100.0,0.35,1.4418,1,0,2315.4364,5,0,0.2505,4,0,0.1739,1,0.134,0.2796,1,0.134,37.4896,1,0.1362,0.9419,1,0.134,0.236,1,0.134,4.2552,1,0.1481,0.9433,3.0,0.1796
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::stress,100.0,0.35,3.7788,5,0,1402.5598,2,0,0.224,3,0,0.4519,2,0.1596,0.7036,2,0.1596,76.7475,2,0.1596,0.6717,2,0.1596,0.5729,2,0.1596,17.1585,1,0.2021,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,diagonal::disp_x,100.0,0.35,3.7788,5,0,735.1508,3,0,0.2244,1,0,0.4189,1,0.1381,0.6398,1,0.1381,81.6781,2,0.1468,0.6469,1,0.1381,0.5809,1,0.1381,8.4859,1,0.1542,0.8217,2.0,0.1468
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_y,100.0,0.35,1.4418,1,0,769.7379,5,0,0.2503,3,0,0.2841,1,0.1362,0.5097,1,0.1362,72.6765,3,0.1671,0.7934,1,0.1362,0.4545,1,0.1362,8.0357,2,0.1405,0.8378,1.0,0.1476
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_z,100.0,0.4,1.4418,1,0,769.7379,5,0,0.2503,3,0,0.2703,1,0.1413,0.3839,1,0.1413,45.674,1,0.1523,0.8801,1,0.1413,0.3301,1,0.1413,4.2748,1,0.1413,0.8378,1.0,0.1413
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::stress,100.0,0.45,1.4418,1,0,769.7379,5,0,0.2503,3,0,0.5363,1,0.1562,0.8221,1,0.1562,89.803,1,0.1562,0.521,1,0.1562,0.6847,1,0.1562,19.4236,1,0.2188,,,0.0
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,horizontal::disp_x,100.0,0.4,1.4418,1,0,1251.5091,5,0,0.2502,3,0,0.2111,1,0.1356,0.4121,1,0.1356,45.8036,1,0.1356,0.8715,1,0.1356,0.35,1,0.1356,7.2947,2,0.1754,0.834,2.0,0.1467
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::disp_y,100.0,0.4,3.7788,5,0,699.8498,3,0,0.2228,1,0,0.4495,2,0.1242,0.7226,3,0.1308,91.9774,2,0.1242,0.6156,3,0.1308,0.62,3,0.1308,11.4939,1,0.1928,0.8431,1.0,0.1665
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,horizontal::disp_z,100.0,0.35,1.4418,1,0,1251.5091,5,0,0.2502,3,0,0.1917,1,0.134,0.3648,1,0.134,36.202,1,0.1433,0.9073,1,0.134,0.3041,1,0.134,6.4438,2,0.1511,0.834,2.0,0.1696
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,S,horizontal::stress,100.0,0.35,1.7412,3,0,755.3952,4,0,0.3349,4,0,0.5656,2,0.1562,0.8642,2,0.1562,95.5815,2,0.1562,0.5088,2,0.1562,0.7009,2,0.1562,18.7805,1,0.2188,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,mode_shape_1::mode_x,100.0,0.5,3.7785,5,0,438.9483,3,0,0.2571,3,0,0.8944,3,0.1019,1.262,3,0.1019,158.5782,3,0.1019,-0.1213,3,0.1019,1.0589,3,0.1019,15.725,3,0.3885,0.3755,3.0,0.1019
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,mode_shape_1::mode_y,100.0,0.45,3.7785,5,0,438.9483,3,0,0.2571,3,0,0.8384,3,0.1087,1.2974,3,0.1087,160.1004,4,0.1188,-0.2377,3,0.1087,1.1125,3,0.1087,15.1037,1,0.3376,0.3755,3.0,0.1087
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_z,100.0,0.5,3.6681,4,0,409.3443,2,0,0.1901,1,0,0.9825,1,0.1311,1.2156,1,0.1311,182.4798,5,0.1311,-0.0052,1,0.1311,1.0026,1,0.1311,7.9961,1,0.2131,0.0916,5.0,0.1311
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_2::mode_x,100.0,0.5,3.6681,4,0,413.0404,3,0,0.1919,1,0,0.8866,1,0.1251,1.1683,1,0.1251,186.8048,5,0.1251,-0.0005,1,0.1251,1.0002,1,0.1251,13.6221,2,0.2388,0.2758,4.0,0.1359
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,mode_shape_2::mode_y,100.0,0.45,3.7785,5,0,400.6859,2,0,0.1981,2,0,0.6782,2,0.1452,1.1849,3,0.1364,157.031,4,0.1452,-0.1413,3,0.1364,1.0683,3,0.1364,26.8949,3,0.1476,0.2912,3.0,0.1526
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_2::mode_z,100.0,0.5,3.6681,4,0,413.0404,3,0,0.1919,1,0,0.9005,1,0.1329,1.2139,1,0.1329,148.8371,3,0.1916,-0.0795,1,0.1329,1.039,1,0.1329,7.7117,1,0.135,0.2758,4.0,0.142
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_x,100.0,0.35,1.4418,1,0,1152.8183,5,0,0.2404,3,0,0.1322,1,0.1374,0.2473,1,0.1374,58.0659,1,0.1509,0.9526,1,0.1374,0.2177,1,0.1374,5.4857,1,0.1485,0.9545,2.0,0.1509
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_y,100.0,0.35,1.4418,1,0,1152.8183,5,0,0.2404,3,0,0.1536,2,0.1345,0.3126,2,0.1345,57.2462,2,0.1345,0.9169,2,0.1345,0.2882,2,0.1345,6.9277,1,0.193,0.9545,2.0,0.1345
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,torsion::disp_z,100.0,0.35,3.7788,5,0,732.9015,3,0,0.2167,2,0,0.1873,1,0.1419,0.3438,2,0.1441,67.1037,1,0.1419,0.9115,2,0.1441,0.2976,2,0.1441,5.2361,1,0.1419,0.9612,1.0,0.1419
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::stress,100.0,0.35,1.4418,1,0,1152.8183,5,0,0.2404,3,0,0.3437,1,0.1596,0.5982,1,0.1596,91.86,1,0.1596,0.7205,1,0.1596,0.5287,1,0.1596,20.1897,3,0.2021,,,0.0
