Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
3,dimension_3d,generation,diffusionpointcloud,deepwheel_3d_3d,XL,41.3174,0.5,3.8798,3,0,617.8443,2,0,0.0294,2,0,0.3173,5,0.0761,213.162,4,0.0761,8.4768,3,0.0867,4.3491,4,0.0811,0.03,4,0.0811,1.0,3,0.0795,0.0,3,0.0744,0.0,3,0.0744,0.154,3,0.0867,0.0,3,0.0744,0.0223,5,0.1286,0.022,3,0.0809
3,dimension_3d,generation,gan3d,drivaernet_3d_3d,L,40.6505,0.5,74.9842,6,0,74594.5078,5,0,0.219,4,0,0.6114,2,0.2274,232.48,4,0.0644,52.6732,4,0.0616,4.8426,5,0.0698,0.038,5,0.0767,1.0,2,0.0844,0.0,3,0.0636,0.0,3,0.0676,0.0,3,0.0636,0.0,3,0.0636,0.0325,4,0.0816,0.0691,3,0.0755
3,dimension_3d,generation,gan3d,drivaernet_3d_3d,M,40.5077,0.5,74.9842,6,0,51178.029,6,0,0.219,4,0,0.6077,1,0.1476,235.178,4,0.0728,42.0128,4,0.0742,5.656,4,0.0728,0.044,4,0.0742,1.0,2,0.1216,0.0,3,0.0718,0.0,3,0.0718,0.0,3,0.0718,0.0,3,0.0718,0.0436,3,0.0713,0.0722,3,0.0785
3,dimension_3d,generation,atlasnet,drivaernet_3d_3d,S,41.6241,0.5,28.7681,5,0,1026.098,3,0,0.0047,1,0,0.6109,2,0.0669,161.4181,2,0.0318,30.7505,2,0.0383,2.409,2,0.0356,0.258,2,0.0345,1.0,2,0.0352,0.0,1,0.2073,0.0,1,0.2073,0.0,2,0.0352,0.0,1,0.2073,0.0644,2,0.0318,0.2831,5,0.0689
3,dimension_3d,generation,diffusionpointcloud,drivaernet_3d_3d,XL,43.601,0.5,3.8798,3,0,539.3334,2,0,0.0198,2,0,0.6873,6,0.1915,205.9039,4,0.077,13.7367,3,0.0703,2.2847,4,0.067,0.04,5,0.0716,0.998,2,0.1034,0.0,3,0.0635,0.0,3,0.0635,0.002,3,0.0666,0.0,3,0.0635,0.0642,5,0.0829,0.028,3,0.0793
4,dimension_3d,generation,atlasnet,deepjeb_3d_3d,L,40.1167,0.5,28.7681,5,0,831.5486,3,0,0.0041,1,0,0.5328,4,0.1612,149.61,2,0.0768,47.153,4,0.0685,3.8778,3,0.0736,0.222,2,0.1169,0.999,3,0.0678,0.0,3,0.0645,0.0,3,0.0645,0.0,3,0.0677,0.0,3,0.0645,0.1071,4,0.0813,0.4013,6,0.0927
4,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,M,40.0,0.5,3.8798,3,0,222.9035,2,0,0.0205,2,0,0.6195,5,0.1932,424.9689,5,0.0856,77.4149,5,0.0672,5.2087,4,0.0672,0.034,4,0.0843,1.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.1687,6,0.0856,0.1032,4,0.0745
4,dimension_3d,generation,gan3d,deepjeb_3d_3d,S,40.7472,0.5,74.9842,6,0,17011.2723,6,0,0.215,4,0,0.5177,2,0.2474,348.1984,4,0.0765,217.4133,5,0.0666,11.6097,5,0.0666,0.224,3,0.0674,1.0,3,0.063,0.0,3,0.063,0.0,3,0.063,0.0,2,0.0706,0.0,3,0.063,0.1442,4,0.0765,0.1294,4,0.0765
4,dimension_3d,generation,atlasnet,deepjeb_3d_3d,XL,40.8285,0.5,28.7681,5,0,1453.8361,3,0,0.004,1,0,0.53,3,0.2,145.3691,3,0.0648,48.8677,4,0.0664,3.3628,3,0.0716,0.234,2,0.0884,0.995,3,0.0691,0.0,4,0.0668,0.0,4,0.0668,0.0,3,0.0661,0.0,4,0.0668,0.0943,4,0.0857,0.4927,6,0.0875
4,dimension_3d,generation,gan3d,deepwheel_3d_3d,L,40.669,0.5,74.9842,6,0,32409.1128,5,0,0.2185,4,0,0.1902,1,0.1381,255.1067,4,0.0701,23.2564,4,0.0729,17.959,5,0.1012,0.006,5,0.0787,1.0,4,0.0796,0.0,3,0.0722,0.0,3,0.0722,0.0,3,0.0757,0.0,3,0.0722,0.0686,6,0.0852,0.1078,3,0.0819
