Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,MS-SSIM ↓,Precision ↑,Recall ↑,Density ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
gan3d,dimension_3d,generation,74.9842,8192,deepjeb_3d_3d,Large,100,77628.5024,0.2196,334.5454,38.723,12.4108,0.1,1.0,0.4091,0.0,0.0,0.0,0.0,0.0492,0.0602
gan3d,dimension_3d,generation,74.9842,8192,deepjeb_3d_3d,Extra Large,200,104385.7925,0.2202,331.7619,79.7041,12.3956,0.128,1.0,0.4197,0.0,0.0,0.0,0.0,0.0596,0.109
gan3d,dimension_3d,generation,74.9842,8192,deepwheel_3d_3d,Small,20,3616.6472,0.211,386.43,117.7237,17.2956,0.036,1.0,0.3112,0.0,0.0,0.0,0.0,0.0455,0.2458
gan3d,dimension_3d,generation,74.9842,8192,deepwheel_3d_3d,Medium,50,22701.5326,0.2156,255.9194,23.4869,16.8964,0.008,1.0,0.2537,0.0,0.0,0.0,0.0,0.0674,0.0938
gan3d,dimension_3d,generation,74.9842,8192,deepwheel_3d_3d,Large,100,32409.1128,0.2185,255.1067,23.2564,17.959,0.006,1.0,0.1902,0.0,0.0,0.0,0.0,0.0686,0.1078
gan3d,dimension_3d,generation,74.9842,8192,deepwheel_3d_3d,Extra Large,200,49958.9682,0.2133,390.4872,172.9725,174.283,0.004,1.0,0.2557,0.0,0.0,0.0,0.0,0.0136,0.1603
gan3d,dimension_3d,generation,74.9842,8192,drivaernet_3d_3d,Small,20,18621.6503,0.219,330.7602,268.1508,7.6606,0.244,1.0,0.6535,0.0,0.0,0.0,0.0,0.0969,0.1514
gan3d,dimension_3d,generation,74.9842,8192,drivaernet_3d_3d,Medium,50,51178.029,0.219,235.178,42.0128,5.656,0.044,1.0,0.6077,0.0,0.0,0.0,0.0,0.0436,0.0722
gan3d,dimension_3d,generation,74.9842,8192,drivaernet_3d_3d,Large,100,74594.5078,0.219,232.48,52.6732,4.8426,0.038,1.0,0.6114,0.0,0.0,0.0,0.0,0.0325,0.0691
gan3d,dimension_3d,generation,74.9842,8192,drivaernet_3d_3d,Extra Large,200,102683.4289,0.2185,216.0315,47.5385,5.1601,0.028,1.0,0.6212,0.0,0.0,0.0,0.0,0.026,0.0675
pointflow,dimension_3d,generation,1.4268,8192,deepjeb_3d_3d,Small,20,11571.9228,0.0667,283.2265,34.7306,3.172,0.26,0.987,0.5128,0.166,0.0,0.0368,0.024,0.1262,0.0696
pointflow,dimension_3d,generation,1.4268,8192,deepjeb_3d_3d,Medium,50,36194.2577,0.0809,260.8403,32.4686,3.1648,0.302,0.979,0.5315,0.408,0.002,0.1288,0.054,0.1266,0.0577
pointflow,dimension_3d,generation,1.4268,8192,deepjeb_3d_3d,Large,100,103089.6448,0.1078,177.7062,17.9708,2.8367,0.338,0.929,0.5219,0.664,0.09,0.396,0.226,0.0977,0.0749
pointflow,dimension_3d,generation,1.4268,8192,deepjeb_3d_3d,Extra Large,200,61903.5365,0.1356,142.7062,14.2168,2.6623,0.418,0.864,0.5301,0.788,0.15,0.6512,0.406,0.0845,0.0717
pointflow,dimension_3d,generation,1.4268,8192,deepwheel_3d_3d,Small,20,11657.1702,0.0766,220.4643,10.411,4.0247,0.248,1.0,0.2767,0.0,0.016,0.0,0.0,0.0218,0.0339
