Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_2::mode_y,100.0,0.45,3.7785,4,0.1723,860.2147,2,0.102,0.1995,2,0.102,0.6417,2,0.0891,1.1095,2,0.0891,181.8599,4,0.0891,-0.0006,2,0.0891,1.0003,2,0.0891,25.5657,2,0.0891,0.0147,4.0,0.0891
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_2::mode_z,100.0,0.45,3.7785,4,0.1628,860.2147,2,0.1056,0.1995,2,0.1056,0.8715,2,0.0888,1.1686,2,0.0888,183.858,4,0.0909,-0.0004,2,0.0888,1.0002,2,0.0888,6.8026,2,0.0888,0.0147,4.0,0.0909
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_x,100.0,0.45,1.7412,2,0.2362,1684.677,3,0.1272,0.2124,1,0.1653,0.1098,3,0.0661,0.2275,3,0.0661,47.6263,2,0.0689,0.9599,3,0.0661,0.2002,3,0.0661,5.2997,2,0.0689,0.9725,2.0,0.0689
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_y,100.0,0.45,1.7412,2,0.2518,1684.677,3,0.104,0.2124,1,0.1993,0.1198,2,0.0638,0.2499,2,0.0638,51.2374,2,0.0638,0.9469,2,0.0638,0.2305,2,0.0638,7.5574,2,0.0621,0.9725,2.0,0.0638
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_z,100.0,0.45,1.7412,2,0.2678,1684.677,3,0.1059,0.2124,1,0.207,0.1591,2,0.0599,0.2919,2,0.0599,59.0903,2,0.0599,0.9362,2,0.0599,0.2527,2,0.0599,5.1565,2,0.0599,0.9725,2.0,0.0599
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::stress,100.0,0.45,1.7412,2,0.1613,1684.677,3,0.1667,0.2124,1,0.1613,0.3141,3,0.082,0.5737,3,0.082,87.8665,2,0.0848,0.7429,3,0.082,0.5071,3,0.082,22.4883,5,0.098,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::disp_x,100.0,0.45,3.7788,4,0.1563,1402.5598,2,0.173,0.224,3,0.1514,0.1446,2,0.0702,0.2746,2,0.0702,33.5037,2,0.0807,0.9448,2,0.0702,0.2338,2,0.0702,5.5326,2,0.0821,0.9451,1.0,0.0757
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::disp_y,100.0,0.45,3.7788,4,0.1574,1402.5598,2,0.1777,0.224,3,0.104,0.1986,1,0.0903,0.4029,2,0.0725,63.6815,1,0.0903,0.871,2,0.0725,0.3592,2,0.0725,7.4753,2,0.0725,0.9451,1.0,0.0903
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::disp_z,100.0,0.45,3.7788,4,0.1308,1402.5598,2,0.1461,0.224,3,0.103,0.2243,3,0.0795,0.3344,3,0.0795,44.5031,2,0.0816,0.9169,3,0.0795,0.2822,3,0.0795,4.3738,2,0.0924,0.9451,1.0,0.1282
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,vertical::stress,100.0,0.45,3.7788,4,0.1654,1402.5598,2,0.1919,0.224,3,0.1654,0.4519,2,0.0774,0.7036,2,0.0774,76.7475,2,0.0774,0.6717,2,0.0774,0.5729,2,0.0774,17.1585,1,0.0905,,,0.0
