Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),IS (Value),IS (Rank),IS (Weight),FID (Value),FID (Rank),FID (Weight),LPIPS (Value),LPIPS (Rank),LPIPS (Weight),PSNR (Value),PSNR (Rank),PSNR (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight)
2,dimension_2d,generation,wgan_gp,drivaernet_2d_2d,M,47.2937,0.4861,23.9471,2,0.0887,3259.6499,4,0.0836,0.08,8,0.0904,3.3342,1,0.1171,321.5406,6,0.0782,0.2682,4,0.0699,12.2244,4,0.1195,0.6163,4,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.002,2,0.0834,0.0,2,0.0665
2,dimension_2d,generation,wgan_gp,drivaernet_2d_2d,S,53.5991,0.4861,23.9471,2,0.044,1439.8787,4,0.0371,0.0429,5,0.043,1.5555,6,0.0342,317.6367,5,0.0524,0.2505,2,0.0384,12.1324,5,0.0535,0.6344,3,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
2,dimension_2d,generation,vae,drivaernet_2d_2d,XL,64.3979,0.5,50.718,7,0.0852,8382.7104,7,0.0753,0.0297,1,0.1055,1.8437,7,0.097,166.2044,3,0.07,0.2135,6,0.0965,13.1329,1,0.1002,0.7058,7,0.0769,0.016,2,0.0709,0.0032,2,0.0709,0.008,3,0.0799,0.014,2,0.0717
3,dimension_2d,generation,vae,deepjeb_2d_2d,L,46.7418,0.4861,50.718,7,0.1229,6815.6554,6,0.1124,0.0406,3,0.1031,1.2351,8,0.0702,77.2128,2,0.0684,0.0584,8,0.0848,21.943,1,0.0856,0.8808,7,0.0693,0.33,2,0.0665,0.1368,2,0.0665,0.0,3,0.0848,0.086,2,0.0656
3,dimension_2d,generation,vqvae,deepjeb_2d_2d,M,48.7795,0.5,4.8899,1,0.1036,1380.6389,1,0.0978,0.033,1,0.113,1.3991,2,0.0765,116.691,3,0.0976,0.0898,6,0.0637,21.5796,1,0.1001,0.8038,4,0.0686,0.002,3,0.0704,0.0004,3,0.0704,0.0,2,0.0671,0.002,2,0.0713
3,dimension_2d,generation,vqvae,deepjeb_2d_2d,S,39.6934,0.4722,4.8899,1,0.0735,1049.05,1,0.0802,0.041,1,0.1008,1.3843,2,0.1007,173.774,5,0.095,0.0703,7,0.0928,21.5776,2,0.0927,0.84,6,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
3,dimension_2d,generation,wgan_gp,deepjeb_2d_2d,XL,54.7008,0.4861,23.9471,2,0.0986,6857.7575,4,0.0768,0.0532,7,0.1052,1.4259,5,0.0789,59.0039,3,0.0795,0.1221,4,0.0856,20.8552,3,0.0827,0.7867,4,0.093,0.068,5,0.078,0.0172,5,0.078,0.022,3,0.0727,0.048,5,0.071
3,dimension_2d,generation,vqvae,drivaernet_2d_2d,L,47.3185,0.5,4.8899,1,0.0815,2032.0077,2,0.0779,0.041,4,0.0931,3.0314,3,0.1084,282.5959,6,0.0785,0.2442,5,0.0846,12.647,3,0.0954,0.6551,5,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.002,2,0.1038,0.0,3,0.0676
3,dimension_2d,generation,vae,drivaernet_2d_2d,M,47.2552,0.4861,50.718,7,0.0887,6054.8611,7,0.0836,0.0365,2,0.0904,1.8099,7,0.1171,183.8985,2,0.0782,0.1891,7,0.0699,13.7607,1,0.1195,0.7938,7,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.002,2,0.0834,0.0,2,0.0665
3,dimension_2d,generation,vqvae,drivaernet_2d_2d,S,49.6629,0.4861,4.8899,1,0.044,448.439,1,0.0371,0.0384,3,0.043,1.6376,5,0.0342,327.2382,6,0.0524,0.2043,4,0.0384,12.3627,4,0.0535,0.699,4,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
3,dimension_2d,generation,r1gan,drivaernet_2d_2d,XL,52.9428,0.5,23.951,4,0.0852,6219.9943,3,0.0753,0.0454,4,0.1055,2.779,2,0.097,163.9733,2,0.07,0.2648,2,0.0965,12.0121,6,0.1002,0.5944,2,0.0769,0.004,3,0.0709,0.0008,3,0.0709,0.004,4,0.0799,0.002,3,0.0717
4,dimension_2d,generation,r1gan,deepjeb_2d_2d,L,40.8193,0.4861,23.951,4,0.1229,3828.7436,3,0.1124,0.0431,5,0.1031,1.4073,3,0.0702,88.0041,3,0.0684,0.1235,1,0.0848,20.6387,4,0.0856,0.7797,1,0.0693,0.002,6,0.0665,0.0004,6,0.0665,0.0,3,0.0848,0.002,5,0.0656
4,dimension_2d,generation,wgan_gp,deepjeb_2d_2d,M,48.542,0.5,23.9471,2,0.1036,3237.6557,5,0.0978,0.0586,4,0.113,1.3127,4,0.0765,136.0822,5,0.0976,0.109,3,0.0637,20.7969,2,0.1001,0.7926,2,0.0686,0.002,3,0.0704,0.0004,3,0.0704,0.0,2,0.0671,0.002,2,0.0713
4,dimension_2d,generation,r1gan,deepjeb_2d_2d,S,39.6771,0.4722,23.951,4,0.0735,2646.651,4,0.0802,0.0496,5,0.1008,1.3464,4,0.1007,125.306,2,0.095,0.1071,3,0.0928,20.0411,5,0.0927,0.7945,4,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
4,dimension_2d,generation,vqvae,deepjeb_2d_2d,XL,50.4455,0.4861,4.8899,1,0.0986,4024.9258,2,0.0768,0.032,4,0.1052,1.4304,4,0.0789,50.5634,2,0.0795,0.0943,7,0.0856,21.1753,2,0.0827,0.8166,6,0.093,0.448,4,0.078,0.2016,4,0.078,0.014,4,0.0727,0.234,3,0.071
4,dimension_2d,generation,r1gan,drivaernet_2d_2d,L,40.6386,0.5,23.951,4,0.0815,5193.7004,3,0.0779,0.0365,1,0.0931,3.1608,2,0.1084,263.3042,4,0.0785,0.2869,2,0.0846,12.0181,7,0.0954,0.5925,3,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
4,dimension_2d,generation,vqvae,drivaernet_2d_2d,M,40.3219,0.4861,4.8899,1,0.0887,1288.1074,1,0.0836,0.0376,3,0.0904,3.1229,3,0.1171,328.486,7,0.0782,0.2393,5,0.0699,12.88,3,0.1195,0.6778,5,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
4,dimension_2d,generation,wgan_cp,drivaernet_2d_2d,S,44.1642,0.4861,23.9471,2,0.044,1077.609,2,0.0371,0.0539,6,0.043,1.1662,8,0.0342,303.4761,3,0.0524,0.1107,8,0.0384,13.2241,2,0.0535,0.8669,8,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
4,dimension_2d,generation,vqvae,drivaernet_2d_2d,XL,47.0384,0.5,4.8899,1,0.0852,4323.5651,2,0.0753,0.0454,4,0.1055,2.5196,3,0.097,228.3446,6,0.07,0.2332,5,0.0965,12.6801,2,0.1002,0.6727,6,0.0769,0.002,4,0.0709,0.0004,4,0.0709,0.0,5,0.0799,0.002,3,0.0717
5,dimension_2d,generation,wgan_gp,deepjeb_2d_2d,L,40.725,0.4861,23.9471,2,0.1229,4159.2966,4,0.1124,0.0472,6,0.1031,1.3892,4,0.0702,93.9335,4,0.0684,0.1199,2,0.0848,20.6513,3,0.0856,0.781,2,0.0693,0.004,4,0.0665,0.0008,4,0.0665,0.0,3,0.0848,0.004,4,0.0656
5,dimension_2d,generation,r1gan,deepjeb_2d_2d,M,40.642,0.5,23.951,4,0.1036,3034.8926,4,0.0978,0.0664,5,0.113,1.3149,3,0.0765,107.9506,2,0.0976,0.1057,4,0.0637,20.5626,3,0.1001,0.7995,3,0.0686,0.0,5,0.0704,0.0,5,0.0704,0.0,2,0.0671,0.0,5,0.0713
5,dimension_2d,generation,dcgan,deepjeb_2d_2d,S,39.6547,0.4722,23.951,4,0.0735,2542.1856,3,0.0802,0.0456,3,0.1008,1.3233,5,0.1007,135.2298,3,0.095,0.0947,6,0.0928,20.2767,4,0.0927,0.8137,5,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
5,dimension_2d,generation,vae,deepjeb_2d_2d,XL,40.3777,0.4861,50.718,7,0.0986,9360.0506,7,0.0768,0.0405,6,0.1052,1.2132,9,0.0789,60.4024,4,0.0795,0.0599,8,0.0856,21.8902,1,0.0827,0.8653,8,0.093,0.848,1,0.078,0.6944,1,0.078,0.0,5,0.0727,0.152,4,0.071
5,dimension_2d,generation,wgan_gp,drivaernet_2d_2d,L,40.3153,0.5,23.9471,2,0.0815,6251.0954,6,0.0779,0.062,8,0.0931,3.3254,1,0.1084,279.1017,5,0.0785,0.2621,4,0.0846,12.2114,6,0.0954,0.6141,4,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
5,dimension_2d,generation,r1gan,drivaernet_2d_2d,M,40.3179,0.4861,23.951,4,0.0887,3202.5216,3,0.0836,0.0389,4,0.0904,3.2096,2,0.1171,290.1239,4,0.0782,0.2744,3,0.0699,12.0768,5,0.1195,0.6043,3,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
5,dimension_2d,generation,ddpm,drivaernet_2d_2d,S,43.1847,0.4861,71.4391,8,0.044,5191.8329,8,0.0371,3.5486,9,0.043,2.6994,1,0.0342,251.3046,2,0.0524,0.5622,1,0.0384,7.4875,8,0.0535,0.1064,1,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
5,dimension_2d,generation,wgan_gp,drivaernet_2d_2d,XL,42.7006,0.5,23.9471,2,0.0852,6933.9832,4,0.0753,0.0654,7,0.1055,3.0051,1,0.097,221.4932,5,0.07,0.2596,3,0.0965,12.243,4,0.1002,0.599,3,0.0769,0.0,5,0.0709,0.0,5,0.0709,0.044,2,0.0799,0.0,5,0.0717
6,dimension_2d,generation,lsgan,deepjeb_2d_2d,L,40.1726,0.4861,39.0898,6,0.1229,6253.7254,5,0.1124,0.0312,1,0.1031,1.2517,7,0.0702,109.0452,5,0.0684,0.0915,6,0.0848,20.5004,5,0.0856,0.8355,6,0.0693,0.0,7,0.0665,0.0,7,0.0665,0.0,3,0.0848,0.0,7,0.0656
6,dimension_2d,generation,dcgan,deepjeb_2d_2d,M,40.4065,0.5,23.951,4,0.1036,4468.358,7,0.0978,0.1249,7,0.113,1.1878,6,0.0765,125.9049,4,0.0976,0.0764,7,0.0637,20.5374,4,0.1001,0.8371,5,0.0686,0.0,5,0.0704,0.0,5,0.0704,0.0,2,0.0671,0.0,5,0.0713
6,dimension_2d,generation,wgan_gp,deepjeb_2d_2d,S,39.4591,0.4722,23.9471,2,0.0735,2789.6116,5,0.0802,0.0613,8,0.1008,1.3756,3,0.1007,212.0834,7,0.095,0.096,5,0.0928,20.8573,3,0.0927,0.7896,3,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
6,dimension_2d,generation,dcgan,deepjeb_2d_2d,XL,40.141,0.4861,23.951,4,0.0986,5967.671,3,0.0768,0.0309,3,0.1052,1.3552,6,0.0789,73.9387,5,0.0795,0.1139,5,0.0856,20.3791,6,0.0827,0.7718,1,0.093,0.022,6,0.078,0.0052,6,0.078,0.0,5,0.0727,0.024,6,0.071
6,dimension_2d,generation,dcgan,drivaernet_2d_2d,L,40.1778,0.5,23.951,4,0.0815,6536.6105,7,0.0779,0.0488,7,0.0931,1.6088,8,0.1084,248.1507,3,0.0785,0.2333,6,0.0846,12.43,4,0.0954,0.7282,7,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
6,dimension_2d,generation,dcgan,drivaernet_2d_2d,M,39.6449,0.4861,23.951,4,0.0887,4948.746,6,0.0836,0.062,7,0.0904,2.0154,6,0.1171,280.1096,3,0.0782,0.2093,6,0.0699,11.4904,6,0.1195,0.7,6,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
6,dimension_2d,generation,dcgan,drivaernet_2d_2d,S,41.5738,0.4861,23.951,4,0.044,4321.7929,6,0.0371,0.1134,8,0.043,1.7418,3,0.0342,307.0831,4,0.0524,0.1695,5,0.0384,12.3838,3,0.0535,0.8375,6,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
6,dimension_2d,generation,lsgan,drivaernet_2d_2d,XL,40.1411,0.5,39.0898,6,0.0852,7158.3462,5,0.0753,0.0336,2,0.1055,2.1158,6,0.097,237.5626,7,0.07,0.2085,7,0.0965,11.9247,7,0.1002,0.7732,8,0.0769,0.0,5,0.0709,0.0,5,0.0709,0.0,5,0.0799,0.0,5,0.0717
7,dimension_2d,generation,dcgan,deepjeb_2d_2d,L,39.9523,0.4861,23.951,4,0.1229,7084.3745,7,0.1124,0.0854,8,0.1031,1.3167,5,0.0702,109.0792,6,0.0684,0.105,4,0.0848,20.3824,6,0.0856,0.8162,5,0.0693,0.004,4,0.0665,0.0008,4,0.0665,0.0,3,0.0848,0.002,5,0.0656
7,dimension_2d,generation,gan,deepjeb_2d_2d,M,40.1697,0.5,76.3651,9,0.1036,13611.0048,9,0.0978,0.0882,6,0.113,1.2726,5,0.0765,181.8387,7,0.0976,0.0926,5,0.0637,19.4994,5,0.1001,0.8757,6,0.0686,0.0,5,0.0704,0.0,5,0.0704,0.0,2,0.0671,0.0,5,0.0713
7,dimension_2d,generation,gan,deepjeb_2d_2d,S,39.1625,0.4722,76.3651,9,0.0735,13537.6176,9,0.0802,0.0419,2,0.1008,1.2652,6,0.1007,206.8392,6,0.095,0.1185,2,0.0928,15.9038,7,0.0927,0.7178,2,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
7,dimension_2d,generation,lsgan,deepjeb_2d_2d,XL,39.9891,0.4861,39.0898,6,0.0986,8014.4217,5,0.0768,0.0261,1,0.1052,1.3459,7,0.0789,84.974,6,0.0795,0.111,6,0.0856,20.6517,4,0.0827,0.7907,5,0.093,0.01,7,0.078,0.002,7,0.078,0.0,5,0.0727,0.006,7,0.071
7,dimension_2d,generation,lsgan,drivaernet_2d_2d,L,40.1083,0.5,39.0898,6,0.0815,6079.1634,4,0.0779,0.0416,5,0.0931,2.088,5,0.1084,283.968,7,0.0785,0.1922,8,0.0846,12.4101,5,0.0954,0.7853,8,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
7,dimension_2d,generation,wgan_cp,drivaernet_2d_2d,M,39.6202,0.4861,23.9471,2,0.0887,1297.6635,2,0.0836,0.0555,6,0.0904,1.273,9,0.1171,330.3097,8,0.0782,0.1265,8,0.0699,13.2749,2,0.1195,0.8407,8,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
7,dimension_2d,generation,r1gan,drivaernet_2d_2d,S,40.0016,0.4861,23.951,4,0.044,1426.8318,3,0.0371,0.0286,1,0.043,1.224,7,0.0342,350.316,8,0.0524,0.1308,7,0.0384,9.9999,6,0.0535,0.8271,5,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
7,dimension_2d,generation,gan,drivaernet_2d_2d,XL,40.1224,0.5,76.3651,9,0.0852,12883.663,8,0.0753,0.048,6,0.1055,2.1406,5,0.097,278.9467,8,0.07,0.3214,1,0.0965,11.4676,9,0.1002,0.4242,1,0.0769,0.0,5,0.0709,0.0,5,0.0709,0.0,5,0.0799,0.0,5,0.0717
8,dimension_2d,generation,gan,deepjeb_2d_2d,L,39.608,0.4861,76.3651,9,0.1229,10528.8478,9,0.1124,0.0424,4,0.1031,1.2654,6,0.0702,179.0818,8,0.0684,0.0862,7,0.0848,20.0575,7,0.0856,0.8848,8,0.0693,0.0,7,0.0665,0.0,7,0.0665,0.0,3,0.0848,0.0,7,0.0656
8,dimension_2d,generation,wgan_cp,deepjeb_2d_2d,M,40.1044,0.5,23.9471,2,0.1036,1772.8912,2,0.0978,0.1822,8,0.113,1.1519,7,0.0765,277.4936,8,0.0976,0.0574,8,0.0637,18.6552,6,0.1001,0.9404,8,0.0686,0.0,5,0.0704,0.0,5,0.0704,0.0,2,0.0671,0.0,5,0.0713
8,dimension_2d,generation,wgan_cp,deepjeb_2d_2d,S,39.1071,0.4722,23.9471,2,0.0735,1544.3359,2,0.0802,0.0547,6,0.1008,1.1035,7,0.1007,285.8413,8,0.095,0.0971,4,0.0928,19.0408,6,0.0927,0.9007,7,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
8,dimension_2d,generation,gan,deepjeb_2d_2d,XL,39.6932,0.4861,76.3651,9,0.0986,15614.5579,8,0.0768,0.0575,8,0.1052,1.5547,2,0.0789,138.3193,8,0.0795,0.1485,1,0.0856,19.3199,8,0.0827,0.827,7,0.093,0.0,8,0.078,0.0,8,0.078,0.0,5,0.0727,0.0,8,0.071
8,dimension_2d,generation,gan,drivaernet_2d_2d,L,40.0436,0.5,76.3651,9,0.0815,12957.2371,9,0.0779,0.0376,2,0.0931,2.1565,4,0.1084,297.0154,8,0.0785,0.3223,1,0.0846,10.439,9,0.0954,0.3353,1,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
8,dimension_2d,generation,gan,drivaernet_2d_2d,M,39.567,0.4861,76.3651,9,0.0887,12038.2252,9,0.0836,0.0466,5,0.0904,2.1568,5,0.1171,307.2191,5,0.0782,0.3265,2,0.0699,10.872,7,0.1195,0.458,2,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
8,dimension_2d,generation,gan,drivaernet_2d_2d,S,39.8639,0.4861,76.3651,9,0.044,11190.0754,9,0.0371,0.0573,7,0.043,1.8141,2,0.0342,328.0177,7,0.0524,0.249,3,0.0384,8.349,7,0.0535,0.4513,2,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
8,dimension_2d,generation,dcgan,drivaernet_2d_2d,XL,40.1116,0.5,23.951,4,0.0852,7430.3511,6,0.0753,0.1122,8,0.1055,2.2306,4,0.097,198.1772,4,0.07,0.2487,4,0.0965,12.2268,5,0.1002,0.6425,5,0.0769,0.0,5,0.0709,0.0,5,0.0709,0.0,5,0.0799,0.0,5,0.0717
9,dimension_2d,generation,wgan_cp,deepjeb_2d_2d,L,39.4444,0.4861,23.9471,2,0.1229,1984.0571,1,0.1124,0.0682,7,0.1031,1.1145,9,0.0702,269.3093,9,0.0684,0.0434,9,0.0848,18.8397,8,0.0856,0.9646,9,0.0693,0.0,7,0.0665,0.0,7,0.0665,0.0,3,0.0848,0.0,7,0.0656
9,dimension_2d,generation,lsgan,deepjeb_2d_2d,M,40.0,0.5,39.0898,6,0.1036,2019.8114,3,0.0978,0.0373,2,0.113,1.0111,9,0.0765,356.6284,9,0.0976,0.005,9,0.0637,6.6789,9,0.1001,0.9946,9,0.0686,0.0,5,0.0704,0.0,5,0.0704,0.0,2,0.0671,0.0,5,0.0713
9,dimension_2d,generation,lsgan,deepjeb_2d_2d,S,38.8889,0.4722,39.0898,6,0.0735,3005.2584,6,0.0802,0.0564,7,0.1008,1.0255,9,0.1007,379.4345,9,0.095,0.0111,9,0.0928,6.9288,9,0.0927,0.9858,8,0.0907,0.0,3,0.0713,0.0,3,0.0713,0.0,2,0.0642,0.0,3,0.067
9,dimension_2d,generation,wgan_cp,deepjeb_2d_2d,XL,39.4444,0.4861,23.9471,2,0.0986,2337.5976,1,0.0768,0.0345,5,0.1052,1.2555,8,0.0789,309.4998,9,0.0795,0.0597,9,0.0856,19.9631,7,0.0827,0.9225,9,0.093,0.0,8,0.078,0.0,8,0.078,0.0,5,0.0727,0.0,8,0.071
9,dimension_2d,generation,wgan_cp,drivaernet_2d_2d,L,40.0,0.5,23.9471,2,0.0815,1297.5489,1,0.0779,0.0388,3,0.0931,1.0801,9,0.1084,316.9788,9,0.0785,0.0296,9,0.0846,13.0926,2,0.0954,0.975,9,0.0737,0.0,3,0.0676,0.0,3,0.0676,0.0,3,0.1038,0.0,3,0.0676
9,dimension_2d,generation,lsgan,drivaernet_2d_2d,M,39.4444,0.4861,39.0898,6,0.0887,4249.4763,5,0.0836,0.0335,1,0.0904,1.4964,8,0.1171,354.6316,9,0.0782,0.0647,9,0.0699,8.8045,9,0.1195,0.9206,9,0.0699,0.0,2,0.0665,0.0,2,0.0665,0.0,4,0.0834,0.0,2,0.0665
9,dimension_2d,generation,lsgan,drivaernet_2d_2d,S,39.4444,0.4861,39.0898,6,0.044,3953.0704,5,0.0371,0.0407,4,0.043,1.0607,9,0.0342,356.5319,9,0.0524,0.0101,9,0.0384,6.2458,9,0.0535,0.9919,9,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
9,dimension_2d,generation,wgan_cp,drivaernet_2d_2d,XL,40.0,0.5,23.9471,2,0.0852,1926.9107,1,0.0753,0.0353,3,0.1055,1.0687,9,0.097,356.4469,9,0.07,0.0106,9,0.0965,12.285,3,0.1002,0.9946,9,0.0769,0.0,5,0.0709,0.0,5,0.0709,0.0,5,0.0799,0.0,5,0.0717
