Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),IS ↑,FID ↓,MS-SSIM ↓,LPIPS ↑,PSNR ↑,Precision ↑,Recall ↑,Density ↑,Coverage ↑
r1gan,dimension_2d,generation,23.951,128x128,deepjeb_2d_2d,Extra Large,500.0,267.7683,0.001,1.4396,59.001,0.773,0.1295,20.3912,0.168,0.038,0.0464,0.108
r1gan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Small,50.0,436.5683,0.0056,1.8134,198.6517,0.5475,0.2228,9.272,0.0,0.0,0.0,0.0
r1gan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Medium,100.0,403.5945,0.0014,1.7383,157.4122,0.5405,0.2507,9.0482,0.0,0.0,0.0,0.0
r1gan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Large,200.0,798.5839,0.0071,2.1809,166.6561,0.3629,0.2723,10.1383,0.004,0.0,0.0008,0.002
r1gan,dimension_2d,generation,23.951,128x128,deepwheel_2d_2d,Extra Large,500.0,1463.8682,0.0025,2.0554,159.3413,0.324,0.2738,9.1144,0.006,0.01,0.0012,0.004
r1gan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Small,50.0,73.7176,0.0012,1.3207,347.5371,0.7892,0.1331,8.6279,0.0,0.0,0.0,0.0
r1gan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Medium,100.0,158.7408,0.0015,2.9638,292.5151,0.5999,0.2935,12.2287,0.0,0.0,0.0,0.0
r1gan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Large,200.0,190.6546,0.0017,3.0045,250.3936,0.5878,0.2903,12.0664,0.0,0.0,0.0,0.0
r1gan,dimension_2d,generation,23.951,128x128,drivaernet_2d_2d,Extra Large,500.0,225.1593,0.0017,2.7807,167.6704,0.616,0.2622,12.1727,0.0,0.012,0.0,0.0
vae,dimension_2d,generation,50.718,128x128,deepjeb_2d_2d,Small,50.0,1585.5059,0.0051,1.0429,103.1711,0.9873,0.0199,22.3276,0.222,0.0,0.0444,0.002
vae,dimension_2d,generation,50.718,128x128,deepjeb_2d_2d,Medium,100.0,1012.9886,0.0081,1.1145,99.991,0.8971,0.1197,17.557,0.014,0.0,0.0028,0.002
vae,dimension_2d,generation,50.718,128x128,deepjeb_2d_2d,Large,200.0,1740.6004,0.0047,1.2368,78.2586,0.879,0.0593,21.9312,0.382,0.0,0.1552,0.102
vae,dimension_2d,generation,50.718,128x128,deepjeb_2d_2d,Extra Large,500.0,1866.2671,0.0052,1.219,62.7215,0.8771,0.0516,21.7743,0.848,0.0,0.6648,0.128
vae,dimension_2d,generation,50.718,128x128,deepwheel_2d_2d,Small,50.0,4207.5345,0.0265,1.4101,212.8575,0.6416,0.1343,11.0313,0.0,0.01,0.0,0.0
vae,dimension_2d,generation,50.718,128x128,deepwheel_2d_2d,Medium,100.0,4098.0062,0.007,1.4912,207.7183,0.5558,0.1546,10.8149,0.014,0.006,0.0028,0.002
vae,dimension_2d,generation,50.718,128x128,deepwheel_2d_2d,Large,200.0,2185.4737,0.0332,1.5837,216.663,0.5667,0.1618,10.8796,0.018,0.0,0.004,0.004
vae,dimension_2d,generation,50.718,128x128,deepwheel_2d_2d,Extra Large,500.0,2988.8904,0.0055,1.4692,231.4812,0.4585,0.1695,10.5992,0.006,0.0,0.0012,0.002
vae,dimension_2d,generation,50.718,128x128,drivaernet_2d_2d,Small,50.0,1675.9163,0.0051,1.7269,206.8724,0.8319,0.1612,13.9396,0.0,0.002,0.0,0.0
