Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
3,dimension_3d,generation,atlasnet,drivaernet_3d_3d,L,40.6687,0.5,28.7681,5,0.0634,1540.5066,3,0.0625,0.0042,1,0.1143,0.669,5,0.1555,98.8415,3,0.0517,37.6649,3,0.0495,1.9642,2,0.0541,0.144,2,0.0625,1.0,2,0.0643,0.0,3,0.0489,0.0,3,0.0514,0.0,3,0.0489,0.0,3,0.0489,0.0243,2,0.067,0.2628,5,0.0571
3,dimension_3d,generation,atlasnet,drivaernet_3d_3d,M,40.5388,0.5,28.7681,5,0.0708,1193.8569,3,0.0981,0.0042,1,0.0755,0.6614,4,0.0981,162.876,3,0.0574,33.5614,3,0.0584,2.2441,3,0.0574,0.136,3,0.0584,1.0,2,0.0927,0.0,3,0.0553,0.0,3,0.0553,0.0,3,0.0553,0.0,3,0.0553,0.0549,4,0.0539,0.1788,5,0.0579
3,dimension_3d,generation,deepsdf,drivaernet_3d_3d,S,40.7229,0.5,2.1509,2,0.0357,7474.5443,4,0.0419,2.1029,6,0.0438,0.4017,1,0.0519,319.3579,3,0.0266,221.1592,4,0.0285,21.9427,5,0.0293,0.04,4,0.0285,1.0,2,0.0284,0.0,1,0.1971,0.0,1,0.1971,0.0,2,0.0284,0.0,1,0.1971,0.0691,3,0.0266,0.0038,1,0.0394
3,dimension_3d,generation,diffusionpointcloud,drivaernet_3d_3d,XL,43.8632,0.5,3.8798,3,0.0557,539.3334,2,0.0556,0.0198,2,0.0924,0.6873,6,0.1447,205.9039,4,0.0623,13.7367,3,0.0557,2.2847,4,0.0556,0.04,5,0.0587,0.998,2,0.0836,0.0,3,0.0511,0.0,3,0.0511,0.002,3,0.0535,0.0,3,0.0511,0.0642,5,0.0676,0.028,3,0.0612
4,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,L,40.0645,0.5,3.8798,3,0.0658,323.1164,2,0.067,0.0199,2,0.1035,0.5915,6,0.1154,414.2082,5,0.0634,72.4178,5,0.0529,4.6728,4,0.0575,0.044,6,0.0926,1.0,4,0.0535,0.0,3,0.049,0.0,3,0.049,0.0,3,0.051,0.0,3,0.049,0.167,6,0.0626,0.0841,4,0.0678
4,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,M,40.0,0.5,3.8798,3,0.0724,222.9035,2,0.0641,0.0205,2,0.0583,0.6195,5,0.1486,424.9689,5,0.0768,77.4149,5,0.0545,5.2087,4,0.0545,0.034,4,0.0641,1.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.1687,6,0.0768,0.1032,4,0.0583
4,dimension_3d,generation,gan3d,deepjeb_3d_3d,S,40.3859,0.5,74.9842,6,0.0658,17011.2723,6,0.1227,0.215,4,0.069,0.5177,2,0.1575,348.1984,4,0.0627,217.4133,5,0.0526,11.6097,5,0.0526,0.224,3,0.0497,1.0,3,0.0479,0.0,3,0.0479,0.0,3,0.0479,0.0,2,0.0561,0.0,3,0.0479,0.1442,4,0.0627,0.1294,4,0.0569
4,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,XL,41.0541,0.5,3.8798,3,0.0573,532.8326,2,0.0933,0.0199,2,0.1171,0.5773,6,0.1196,328.6042,4,0.0517,44.5545,3,0.0517,3.8362,4,0.0565,0.076,5,0.066,0.996,4,0.054,0.076,3,0.0512,0.0168,3,0.0512,0.0,3,0.0497,0.012,3,0.0512,0.1524,5,0.0639,0.0314,2,0.0655
4,dimension_3d,generation,diffusionpointcloud,deepwheel_3d_3d,L,40.4434,0.5,3.8798,3,0.0724,338.8661,2,0.0736,0.0197,2,0.1152,0.3686,6,0.0935,326.0688,5,0.0536,48.3068,5,0.0552,7.1289,4,0.0739,0.004,6,0.0593,1.0,4,0.0633,0.0,3,0.0526,0.0,3,0.0526,0.0,3,0.0548,0.0,3,0.0526,0.0507,4,0.0681,0.1509,4,0.0593
4,dimension_3d,generation,gan3d,deepwheel_3d_3d,M,40.2117,0.5,74.9842,6,0.0691,22701.5326,5,0.0917,0.2156,3,0.063,0.2537,2,0.1243,255.9194,4,0.0582,23.4869,4,0.0582,16.8964,5,0.0624,0.008,5,0.0615,1.0,3,0.056,0.0,3,0.056,0.0,3,0.056,0.0,4,0.0621,0.0,3,0.056,0.0674,6,0.0624,0.0938,3,0.063
4,dimension_3d,generation,diffusionpointcloud,deepwheel_3d_3d,S,40.2457,0.5,3.8798,3,0.0751,121.2312,2,0.1377,0.021,1,0.0696,0.4559,5,0.0571,364.3189,4,0.0577,61.4802,4,0.0523,12.8302,4,0.0523,0.004,6,0.0993,1.0,2,0.0566,0.0,2,0.0566,0.0,2,0.0566,0.0,3,0.0509,0.0,2,0.0566,0.0593,6,0.0571,0.1376,3,0.0647
4,dimension_3d,generation,atlasnet,deepwheel_3d_3d,XL,40.0,0.5,28.7681,5,0.0666,1558.995,3,0.0643,0.0047,1,0.0642,0.2919,4,0.0621,133.6154,3,0.0621,13.5056,4,0.0666,3.8747,3,0.0643,0.082,3,0.0643,1.0,3,0.0621,0.0,3,0.0599,0.0,3,0.0599,0.0,4,0.0666,0.0,3,0.0599,0.0132,2,0.1128,0.2889,5,0.0642
4,dimension_3d,generation,gan3d,drivaernet_3d_3d,L,40.2931,0.5,74.9842,6,0.0634,74594.5078,5,0.0625,0.219,4,0.1143,0.6114,2,0.1555,232.48,4,0.0517,52.6732,4,0.0495,4.8426,5,0.0541,0.038,5,0.0625,1.0,2,0.0643,0.0,3,0.0489,0.0,3,0.0514,0.0,3,0.0489,0.0,3,0.0489,0.0325,4,0.067,0.0691,3,0.0571
